docname,topic,proportion
Sample.txt:22,002,1.0
Sample.txt:57,002,0.43589
Sample.txt:57,000,0.313151
Sample.txt:57,007,0.25096
Sample.txt:92,000,0.440917
Sample.txt:92,001,0.303083
Sample.txt:92,009,0.152374
Sample.txt:92,005,0.103626
Sample.txt:127,000,0.814232
Sample.txt:127,005,0.077327
Sample.txt:127,007,0.05922
Sample.txt:127,001,0.049221
Sample.txt:162,001,1.0
Sample.txt:197,009,1.0
Sample.txt:232,000,0.771917
Sample.txt:232,006,0.208087
Sample.txt:232,007,0.019996
Sample.txt:267,001,0.978526
Sample.txt:267,005,0.021474
Sample.txt:302,004,0.914582
Sample.txt:302,000,0.070544
Sample.txt:302,003,0.014875
Sample.txt:309,004,0.727522
Sample.txt:309,000,0.161659
Sample.txt:309,003,0.048219
Sample.txt:309,001,0.033362
Sample.txt:309,007,0.029238
Sample.txt:344,000,0.549318
Sample.txt:344,005,0.153972
Sample.txt:344,007,0.107719
Sample.txt:344,004,0.094177
Sample.txt:344,001,0.058831
Sample.txt:344,003,0.035983
Sample.txt:379,000,1.0
Sample.txt:414,002,0.750885
Sample.txt:414,001,0.13842
Sample.txt:414,000,0.110695
Sample.txt:449,002,1.0
Sample.txt:484,000,0.529948
Sample.txt:484,001,0.16541
Sample.txt:484,008,0.150754
Sample.txt:484,009,0.118819
Sample.txt:484,004,0.035069
Sample.txt:519,001,0.628815
Sample.txt:519,008,0.182469
Sample.txt:519,000,0.140401
Sample.txt:519,007,0.048315
Sample.txt:554,008,0.910324
Sample.txt:554,007,0.089676
Sample.txt:589,003,1.0
Sample.txt:28,006,1.0
Sample.txt:63,007,1.0
Sample.txt:98,008,0.508005
Sample.txt:98,009,0.367525
Sample.txt:98,002,0.12447
Sample.txt:133,000,1.0
Sample.txt:168,001,1.0
Sample.txt:203,001,1.0
Sample.txt:238,000,1.0
Sample.txt:273,001,0.64319
Sample.txt:273,000,0.227802
Sample.txt:273,008,0.082124
Sample.txt:273,002,0.046884
Sample.txt:315,000,0.734473
Sample.txt:315,007,0.190841
Sample.txt:315,001,0.05004
Sample.txt:315,008,0.012521
Sample.txt:315,003,0.012125
Sample.txt:350,000,0.722065
Sample.txt:350,001,0.116512
Sample.txt:350,003,0.072489
Sample.txt:350,002,0.047324
Sample.txt:350,004,0.04161
Sample.txt:385,000,1.0
Sample.txt:420,000,0.488663
Sample.txt:420,002,0.233945
Sample.txt:420,005,0.117715
Sample.txt:420,004,0.072399
Sample.txt:420,007,0.065499
Sample.txt:420,001,0.021778
Sample.txt:455,004,0.518861
Sample.txt:455,009,0.247958
Sample.txt:455,000,0.23318
Sample.txt:490,005,0.474485
Sample.txt:490,000,0.331578
Sample.txt:490,002,0.074709
Sample.txt:490,004,0.054736
Sample.txt:490,008,0.02639
Sample.txt:490,001,0.021736
Sample.txt:490,007,0.016367
Sample.txt:525,000,0.713793
Sample.txt:525,004,0.192534
Sample.txt:525,007,0.049681
Sample.txt:525,003,0.043992
Sample.txt:560,008,0.693159
Sample.txt:560,000,0.306841
Sample.txt:595,003,0.866583
Sample.txt:595,000,0.084554
Sample.txt:595,007,0.048862
Sample.txt:0,005,0.571674
Sample.txt:0,000,0.160864
Sample.txt:0,006,0.141796
Sample.txt:0,004,0.125666
Sample.txt:35,004,0.322499
Sample.txt:35,001,0.227043
Sample.txt:35,006,0.221596
Sample.txt:35,009,0.155447
Sample.txt:35,000,0.073415
Sample.txt:70,000,1.0
Sample.txt:105,000,0.883953
Sample.txt:105,001,0.116047
Sample.txt:140,001,0.436288
Sample.txt:140,005,0.183831
Sample.txt:140,002,0.151608
Sample.txt:140,000,0.129677
Sample.txt:140,004,0.07502
Sample.txt:140,007,0.023576
Sample.txt:175,001,1.0
Sample.txt:210,004,1.0
Sample.txt:245,000,1.0
Sample.txt:280,000,0.619406
Sample.txt:280,004,0.258486
Sample.txt:280,003,0.066229
Sample.txt:280,007,0.055879
Sample.txt:322,001,0.509772
Sample.txt:322,005,0.277757
Sample.txt:322,000,0.150514
Sample.txt:322,004,0.054018
Sample.txt:322,002,0.007939
Sample.txt:357,000,0.302687
Sample.txt:357,001,0.297676
Sample.txt:357,005,0.25859
Sample.txt:357,002,0.084623
Sample.txt:357,004,0.043308
Sample.txt:357,006,0.013116
Sample.txt:392,002,1.0
Sample.txt:427,006,1.0
Sample.txt:462,004,0.38031
Sample.txt:462,006,0.283335
Sample.txt:462,001,0.173187
Sample.txt:462,009,0.084931
Sample.txt:462,000,0.078238
Sample.txt:497,000,0.462309
Sample.txt:497,005,0.3191
Sample.txt:497,001,0.218591
Sample.txt:532,002,1.0
Sample.txt:567,008,1.0
Sample.txt:602,003,1.0
Sample.txt:16,006,1.0
Sample.txt:51,007,0.894916
Sample.txt:51,000,0.105084
Sample.txt:86,005,0.31099
Sample.txt:86,008,0.246195
Sample.txt:86,000,0.207039
Sample.txt:86,002,0.112264
Sample.txt:86,001,0.069958
Sample.txt:86,007,0.053554
Sample.txt:121,000,1.0
Sample.txt:156,001,0.615436
Sample.txt:156,005,0.189096
Sample.txt:156,004,0.101414
Sample.txt:156,000,0.065384
Sample.txt:156,006,0.02867
Sample.txt:191,000,0.506815
Sample.txt:191,009,0.427207
Sample.txt:191,005,0.065979
Sample.txt:226,001,1.0
Sample.txt:261,001,1.0
Sample.txt:296,004,0.823461
Sample.txt:296,000,0.147938
Sample.txt:296,003,0.028602
Sample.txt:338,000,0.890195
Sample.txt:338,002,0.109805
Sample.txt:373,002,0.407572
Sample.txt:373,005,0.351964
Sample.txt:373,000,0.240464
Sample.txt:408,002,1.0
Sample.txt:443,006,0.830746
Sample.txt:443,001,0.09155
Sample.txt:443,000,0.077703
Sample.txt:478,000,0.627209
Sample.txt:478,002,0.172589
Sample.txt:478,005,0.141438
Sample.txt:478,008,0.058764
Sample.txt:513,001,1.0
Sample.txt:548,008,1.0
Sample.txt:583,003,1.0
Sample.txt:19,000,0.417815
Sample.txt:19,005,0.304879
Sample.txt:19,008,0.143203
Sample.txt:19,006,0.134103
Sample.txt:54,007,0.964199
Sample.txt:54,000,0.035801
Sample.txt:89,005,0.288568
Sample.txt:89,008,0.224833
Sample.txt:89,000,0.194788
Sample.txt:89,001,0.186294
Sample.txt:89,007,0.105517
Sample.txt:124,000,1.0
Sample.txt:159,001,0.660556
Sample.txt:159,000,0.267126
Sample.txt:159,005,0.049078
Sample.txt:159,004,0.023239
Sample.txt:194,007,1.0
Sample.txt:229,000,1.0
Sample.txt:264,001,0.563466
Sample.txt:264,000,0.436534
Sample.txt:299,004,1.0
Sample.txt:341,000,0.603633
Sample.txt:341,002,0.100889
Sample.txt:341,003,0.089769
Sample.txt:341,001,0.085197
Sample.txt:341,004,0.046266
Sample.txt:341,005,0.039272
Sample.txt:341,007,0.034974
Sample.txt:376,000,0.530571
Sample.txt:376,002,0.406522
Sample.txt:376,004,0.062906
Sample.txt:411,002,1.0
Sample.txt:446,006,0.616385
Sample.txt:446,000,0.192882
Sample.txt:446,009,0.132884
Sample.txt:446,001,0.043177
Sample.txt:446,004,0.014673
Sample.txt:481,000,1.0
Sample.txt:516,001,0.57142
Sample.txt:516,000,0.366248
Sample.txt:516,007,0.062332
Sample.txt:551,008,1.0
Sample.txt:586,003,1.0
Sample.txt:7,000,0.646113
Sample.txt:7,004,0.353887
Sample.txt:42,007,1.0
Sample.txt:77,008,1.0
Sample.txt:112,000,1.0
Sample.txt:147,001,1.0
Sample.txt:182,001,0.72177
Sample.txt:182,005,0.27823
Sample.txt:217,000,1.0
Sample.txt:252,001,1.0
Sample.txt:287,004,0.621589
Sample.txt:287,000,0.236318
Sample.txt:287,003,0.066029
Sample.txt:287,005,0.030222
Sample.txt:287,007,0.027169
Sample.txt:287,001,0.018673
Sample.txt:329,005,1.0
Sample.txt:364,005,0.257424
Sample.txt:364,008,0.236088
Sample.txt:364,000,0.147875
Sample.txt:364,002,0.136887
Sample.txt:364,007,0.118453
Sample.txt:364,001,0.076755
Sample.txt:364,004,0.026518
Sample.txt:399,002,0.33851
Sample.txt:399,001,0.27258
Sample.txt:399,000,0.225627
Sample.txt:399,005,0.114009
Sample.txt:399,004,0.039205
Sample.txt:399,009,0.010069
Sample.txt:434,006,1.0
Sample.txt:469,000,0.44126
Sample.txt:469,004,0.241526
Sample.txt:469,001,0.239628
Sample.txt:469,005,0.077587
Sample.txt:504,000,1.0
Sample.txt:539,000,1.0
Sample.txt:574,008,1.0
Sample.txt:17,006,0.58365
Sample.txt:17,004,0.200517
Sample.txt:17,000,0.15993
Sample.txt:17,003,0.055903
Sample.txt:52,007,0.627116
Sample.txt:52,000,0.372884
Sample.txt:87,000,1.0
Sample.txt:122,000,1.0
Sample.txt:157,001,1.0
Sample.txt:192,001,1.0
Sample.txt:227,005,0.516044
Sample.txt:227,000,0.277125
Sample.txt:227,002,0.152821
Sample.txt:227,001,0.05401
Sample.txt:262,001,0.423009
Sample.txt:262,005,0.372309
Sample.txt:262,006,0.204682
Sample.txt:297,000,1.0
Sample.txt:339,005,1.0
Sample.txt:374,002,0.301384
Sample.txt:374,004,0.235139
Sample.txt:374,005,0.188906
Sample.txt:374,000,0.183659
Sample.txt:374,007,0.090913
Sample.txt:409,002,0.586773
Sample.txt:409,001,0.201367
Sample.txt:409,007,0.109516
Sample.txt:409,000,0.08185
Sample.txt:409,008,0.020495
Sample.txt:444,006,1.0
Sample.txt:479,005,1.0
Sample.txt:514,000,0.523708
Sample.txt:514,001,0.255673
Sample.txt:514,007,0.092346
Sample.txt:514,002,0.087804
Sample.txt:514,005,0.040469
Sample.txt:549,000,0.75579
Sample.txt:549,008,0.206965
Sample.txt:549,003,0.037245
Sample.txt:584,003,1.0
Sample.txt:10,006,1.0
Sample.txt:45,007,1.0
Sample.txt:80,000,0.561999
Sample.txt:80,008,0.220905
Sample.txt:80,001,0.154401
Sample.txt:80,007,0.062696
Sample.txt:115,000,1.0
Sample.txt:150,001,0.626057
Sample.txt:150,000,0.282198
Sample.txt:150,002,0.04854
Sample.txt:150,007,0.031715
Sample.txt:150,005,0.01149
Sample.txt:185,009,1.0
Sample.txt:220,000,0.933353
Sample.txt:220,003,0.041816
Sample.txt:220,006,0.013201
Sample.txt:220,007,0.011629
Sample.txt:255,000,0.466014
Sample.txt:255,001,0.396218
Sample.txt:255,004,0.137769
Sample.txt:290,004,0.889819
Sample.txt:290,000,0.110181
Sample.txt:332,005,0.478122
Sample.txt:332,002,0.195713
Sample.txt:332,000,0.194448
Sample.txt:332,001,0.091504
Sample.txt:332,004,0.040213
Sample.txt:367,000,0.488663
Sample.txt:367,002,0.233945
Sample.txt:367,005,0.117715
Sample.txt:367,004,0.072399
Sample.txt:367,007,0.065499
Sample.txt:367,001,0.021778
Sample.txt:402,002,0.690505
Sample.txt:402,000,0.217275
Sample.txt:402,007,0.09222
Sample.txt:437,000,0.666502
Sample.txt:437,006,0.280381
Sample.txt:437,003,0.053116
Sample.txt:472,000,0.282012
Sample.txt:472,005,0.220978
Sample.txt:472,008,0.213589
Sample.txt:472,001,0.118989
Sample.txt:472,002,0.083035
Sample.txt:472,004,0.081397
Sample.txt:507,000,0.811201
Sample.txt:507,005,0.188799
Sample.txt:542,000,0.605835
Sample.txt:542,004,0.15309
Sample.txt:542,002,0.119514
Sample.txt:542,007,0.089248
Sample.txt:542,001,0.032313
Sample.txt:577,008,1.0
Sample.txt:33,006,0.572824
Sample.txt:33,000,0.279089
Sample.txt:33,001,0.076152
Sample.txt:33,009,0.071935
Sample.txt:68,007,1.0
Sample.txt:103,000,1.0
Sample.txt:138,001,0.861309
Sample.txt:138,005,0.076753
Sample.txt:138,000,0.061938
Sample.txt:173,001,1.0
Sample.txt:208,000,1.0
Sample.txt:243,000,1.0
Sample.txt:278,004,0.524178
Sample.txt:278,003,0.164422
Sample.txt:278,000,0.119853
Sample.txt:278,001,0.106528
Sample.txt:278,006,0.044291
Sample.txt:278,007,0.040729
Sample.txt:320,000,0.748751
Sample.txt:320,001,0.132724
Sample.txt:320,004,0.118525
Sample.txt:355,000,1.0
Sample.txt:390,002,1.0
Sample.txt:425,006,0.665446
Sample.txt:425,000,0.206763
Sample.txt:425,005,0.104564
Sample.txt:425,009,0.013843
Sample.txt:425,004,0.009384
Sample.txt:460,006,0.534143
Sample.txt:460,000,0.257203
Sample.txt:460,004,0.127449
Sample.txt:460,009,0.063045
Sample.txt:460,003,0.01816
Sample.txt:495,005,0.416533
Sample.txt:495,001,0.274366
Sample.txt:495,000,0.233801
Sample.txt:495,008,0.0753
Sample.txt:530,001,0.625446
Sample.txt:530,000,0.374554
Sample.txt:565,008,0.508443
Sample.txt:565,000,0.491557
Sample.txt:600,003,0.910332
Sample.txt:600,001,0.089668
Sample.txt:5,004,0.522263
Sample.txt:5,006,0.125425
Sample.txt:5,001,0.113906
Sample.txt:5,009,0.109149
Sample.txt:5,008,0.091428
Sample.txt:5,003,0.03783
Sample.txt:40,007,0.830945
Sample.txt:40,000,0.169055
Sample.txt:75,000,0.907049
Sample.txt:75,002,0.092951
Sample.txt:110,000,1.0
Sample.txt:145,001,0.53806
Sample.txt:145,000,0.339729
Sample.txt:145,009,0.062625
Sample.txt:145,006,0.059586
Sample.txt:180,001,0.903915
Sample.txt:180,000,0.049007
Sample.txt:180,004,0.047078
Sample.txt:215,000,0.887287
Sample.txt:215,001,0.096066
Sample.txt:215,007,0.016647
Sample.txt:250,000,0.578819
Sample.txt:250,005,0.249542
Sample.txt:250,001,0.129714
Sample.txt:250,007,0.024449
Sample.txt:250,003,0.017475
Sample.txt:285,004,1.0
Sample.txt:327,005,0.691602
Sample.txt:327,001,0.308398
Sample.txt:362,005,0.53939
Sample.txt:362,000,0.292868
Sample.txt:362,001,0.127739
Sample.txt:362,002,0.040003
Sample.txt:397,002,0.815879
Sample.txt:397,001,0.118882
Sample.txt:397,000,0.065239
Sample.txt:432,006,0.801792
Sample.txt:432,000,0.147282
Sample.txt:432,001,0.050926
Sample.txt:467,000,0.394809
Sample.txt:467,001,0.327729
Sample.txt:467,005,0.197081
Sample.txt:467,003,0.080381
Sample.txt:502,000,1.0
Sample.txt:537,006,1.0
Sample.txt:572,008,1.0
Sample.txt:13,000,1.0
Sample.txt:48,007,0.917294
Sample.txt:48,001,0.082706
Sample.txt:83,000,0.699981
Sample.txt:83,001,0.160879
Sample.txt:83,002,0.13914
Sample.txt:118,000,0.875904
Sample.txt:118,001,0.062315
Sample.txt:118,004,0.061781
Sample.txt:153,001,0.710078
Sample.txt:153,000,0.173014
Sample.txt:153,006,0.080844
Sample.txt:153,002,0.022187
Sample.txt:153,003,0.013877
Sample.txt:188,009,1.0
Sample.txt:223,000,0.838295
Sample.txt:223,006,0.161705
Sample.txt:258,000,0.754723
Sample.txt:258,001,0.245277
Sample.txt:293,004,0.642599
Sample.txt:293,000,0.19436
Sample.txt:293,003,0.064306
Sample.txt:293,001,0.053314
Sample.txt:293,006,0.023232
Sample.txt:293,005,0.022189
Sample.txt:335,005,1.0
Sample.txt:370,000,0.727198
Sample.txt:370,007,0.161049
Sample.txt:370,001,0.104904
Sample.txt:370,002,0.006849
