docname,topic,proportion
input_SAR.txt:1386,000,1.0
input_SAR.txt:1421,002,1.0
input_SAR.txt:1456,004,1.0
input_SAR.txt:1491,004,1.0
input_SAR.txt:1526,013,1.0
input_SAR.txt:1561,001,1.0
input_SAR.txt:1596,001,1.0
input_SAR.txt:1631,014,1.0
input_SAR.txt:1666,009,1.0
input_SAR.txt:28,004,1.0
input_SAR.txt:63,009,1.0
input_SAR.txt:98,003,1.0
input_SAR.txt:133,004,1.0
input_SAR.txt:168,005,1.0
input_SAR.txt:203,003,1.0
input_SAR.txt:238,003,1.0
input_SAR.txt:273,008,1.0
input_SAR.txt:308,008,1.0
input_SAR.txt:343,000,1.0
input_SAR.txt:378,004,1.0
input_SAR.txt:413,010,1.0
input_SAR.txt:448,004,1.0
input_SAR.txt:483,005,1.0
input_SAR.txt:518,004,1.0
input_SAR.txt:553,013,1.0
input_SAR.txt:588,001,1.0
input_SAR.txt:623,004,1.0
input_SAR.txt:658,004,1.0
input_SAR.txt:693,001,1.0
input_SAR.txt:728,003,1.0
input_SAR.txt:763,001,1.0
input_SAR.txt:798,004,1.0
input_SAR.txt:833,004,1.0
input_SAR.txt:863,007,1.0
input_SAR.txt:898,009,1.0
input_SAR.txt:933,004,1.0
input_SAR.txt:968,000,1.0
input_SAR.txt:1003,000,1.0
input_SAR.txt:1038,000,1.0
input_SAR.txt:1073,007,1.0
input_SAR.txt:1108,007,1.0
input_SAR.txt:1143,004,1.0
input_SAR.txt:1178,005,1.0
input_SAR.txt:1213,004,1.0
input_SAR.txt:1248,006,1.0
input_SAR.txt:1283,000,1.0
input_SAR.txt:1318,000,1.0
input_SAR.txt:1353,004,1.0
input_SAR.txt:1388,008,1.0
input_SAR.txt:1423,000,1.0
input_SAR.txt:1458,004,1.0
input_SAR.txt:1493,007,1.0
input_SAR.txt:1528,000,1.0
input_SAR.txt:1563,004,1.0
input_SAR.txt:1598,004,1.0
input_SAR.txt:1633,010,1.0
input_SAR.txt:1668,012,1.0
input_SAR.txt:25,004,1.0
input_SAR.txt:60,004,1.0
input_SAR.txt:95,004,1.0
input_SAR.txt:130,002,1.0
input_SAR.txt:165,004,1.0
input_SAR.txt:200,001,1.0
input_SAR.txt:235,010,1.0
input_SAR.txt:270,002,1.0
input_SAR.txt:305,005,1.0
input_SAR.txt:340,005,1.0
input_SAR.txt:375,009,1.0
input_SAR.txt:410,000,1.0
input_SAR.txt:445,004,1.0
input_SAR.txt:480,006,1.0
input_SAR.txt:515,008,1.0
input_SAR.txt:550,001,1.0
input_SAR.txt:585,001,1.0
input_SAR.txt:620,002,1.0
input_SAR.txt:655,004,1.0
input_SAR.txt:690,004,1.0
input_SAR.txt:725,004,1.0
input_SAR.txt:760,001,1.0
input_SAR.txt:795,004,1.0
input_SAR.txt:830,003,1.0
input_SAR.txt:860,005,1.0
input_SAR.txt:895,006,1.0
input_SAR.txt:930,001,1.0
input_SAR.txt:965,000,1.0
input_SAR.txt:1000,004,1.0
input_SAR.txt:1035,002,1.0
input_SAR.txt:1070,004,1.0
input_SAR.txt:1105,002,1.0
input_SAR.txt:1140,000,1.0
input_SAR.txt:1175,004,1.0
input_SAR.txt:1210,002,1.0
input_SAR.txt:1245,000,1.0
input_SAR.txt:1280,000,1.0
input_SAR.txt:1315,005,1.0
input_SAR.txt:1350,003,1.0
input_SAR.txt:1385,012,1.0
input_SAR.txt:1420,003,1.0
input_SAR.txt:1455,007,1.0
input_SAR.txt:1490,004,1.0
input_SAR.txt:1525,004,1.0
input_SAR.txt:1560,001,1.0
input_SAR.txt:1595,001,1.0
input_SAR.txt:1630,003,1.0
input_SAR.txt:1665,012,1.0
input_SAR.txt:5,004,1.0
input_SAR.txt:40,004,1.0
input_SAR.txt:75,017,1.0
input_SAR.txt:110,003,1.0
input_SAR.txt:145,010,1.0
input_SAR.txt:180,004,1.0
input_SAR.txt:215,005,1.0
input_SAR.txt:250,001,1.0
input_SAR.txt:285,002,1.0
input_SAR.txt:320,010,1.0
input_SAR.txt:355,011,1.0
input_SAR.txt:390,001,1.0
input_SAR.txt:425,004,1.0
input_SAR.txt:460,004,1.0
input_SAR.txt:495,001,1.0
input_SAR.txt:530,006,1.0
input_SAR.txt:565,001,1.0
input_SAR.txt:600,004,1.0
input_SAR.txt:635,004,1.0
input_SAR.txt:670,001,1.0
input_SAR.txt:705,004,1.0
input_SAR.txt:740,008,1.0
input_SAR.txt:775,004,1.0
input_SAR.txt:810,000,1.0
input_SAR.txt:845,016,1.0
input_SAR.txt:875,003,1.0
input_SAR.txt:910,007,1.0
input_SAR.txt:945,003,1.0
input_SAR.txt:980,004,1.0
input_SAR.txt:1015,004,1.0
input_SAR.txt:1050,001,1.0
input_SAR.txt:1085,004,1.0
input_SAR.txt:1120,007,1.0
input_SAR.txt:1155,007,1.0
input_SAR.txt:1190,004,1.0
input_SAR.txt:1225,008,1.0
input_SAR.txt:1260,000,1.0
input_SAR.txt:1295,001,1.0
input_SAR.txt:1330,007,1.0
input_SAR.txt:1365,007,1.0
input_SAR.txt:1400,007,1.0
input_SAR.txt:1435,004,1.0
input_SAR.txt:1470,004,1.0
input_SAR.txt:1505,002,1.0
input_SAR.txt:1540,000,1.0
input_SAR.txt:1575,001,1.0
input_SAR.txt:1610,001,1.0
input_SAR.txt:1645,004,1.0
input_SAR.txt:6,004,1.0
input_SAR.txt:41,004,1.0
input_SAR.txt:76,003,1.0
input_SAR.txt:111,004,1.0
input_SAR.txt:146,000,1.0
input_SAR.txt:181,004,1.0
input_SAR.txt:216,004,1.0
input_SAR.txt:251,001,1.0
input_SAR.txt:286,004,1.0
input_SAR.txt:321,010,1.0
input_SAR.txt:356,000,1.0
input_SAR.txt:391,004,1.0
input_SAR.txt:426,006,1.0
input_SAR.txt:461,006,1.0
input_SAR.txt:496,004,1.0
input_SAR.txt:531,004,1.0
input_SAR.txt:566,004,1.0
input_SAR.txt:601,004,1.0
input_SAR.txt:636,008,1.0
input_SAR.txt:671,004,1.0
input_SAR.txt:706,001,1.0
input_SAR.txt:741,002,1.0
input_SAR.txt:776,004,1.0
input_SAR.txt:811,001,1.0
input_SAR.txt:846,006,1.0
input_SAR.txt:876,000,1.0
input_SAR.txt:911,007,1.0
input_SAR.txt:946,002,1.0
input_SAR.txt:981,014,1.0
input_SAR.txt:1016,001,1.0
input_SAR.txt:1051,001,1.0
input_SAR.txt:1086,000,1.0
input_SAR.txt:1121,007,1.0
input_SAR.txt:1156,011,1.0
input_SAR.txt:1191,004,1.0
input_SAR.txt:1226,008,1.0
input_SAR.txt:1261,004,1.0
input_SAR.txt:1296,014,1.0
input_SAR.txt:1331,007,1.0
input_SAR.txt:1366,003,1.0
input_SAR.txt:1401,005,1.0
input_SAR.txt:1436,004,1.0
input_SAR.txt:1471,004,1.0
input_SAR.txt:1506,008,1.0
input_SAR.txt:1541,004,1.0
input_SAR.txt:1576,001,1.0
input_SAR.txt:1611,001,1.0
input_SAR.txt:1646,009,1.0
input_SAR.txt:16,004,1.0
input_SAR.txt:51,001,1.0
input_SAR.txt:86,005,1.0
input_SAR.txt:121,004,1.0
input_SAR.txt:156,000,1.0
input_SAR.txt:191,000,1.0
input_SAR.txt:226,001,1.0
input_SAR.txt:261,013,1.0
input_SAR.txt:296,010,1.0
input_SAR.txt:331,004,1.0
input_SAR.txt:366,004,1.0
input_SAR.txt:401,003,1.0
input_SAR.txt:436,006,1.0
input_SAR.txt:471,000,1.0
input_SAR.txt:506,000,1.0
input_SAR.txt:541,001,1.0
input_SAR.txt:576,004,1.0
input_SAR.txt:611,004,1.0
input_SAR.txt:646,004,1.0
input_SAR.txt:681,004,1.0
input_SAR.txt:716,003,1.0
input_SAR.txt:751,000,1.0
input_SAR.txt:786,004,1.0
input_SAR.txt:821,004,1.0
input_SAR.txt:886,002,1.0
input_SAR.txt:921,004,1.0
input_SAR.txt:956,005,1.0
input_SAR.txt:991,007,1.0
input_SAR.txt:1026,001,1.0
