docname,topic,proportion
input_SAR.txt:1359,000,1.0
input_SAR.txt:1394,002,1.0
input_SAR.txt:1429,000,1.0
input_SAR.txt:1464,005,1.0
input_SAR.txt:1499,008,1.0
input_SAR.txt:1534,001,1.0
input_SAR.txt:1569,000,1.0
input_SAR.txt:1604,000,1.0
input_SAR.txt:1639,010,1.0
input_SAR.txt:33,001,1.0
input_SAR.txt:68,000,1.0
input_SAR.txt:103,000,1.0
input_SAR.txt:138,000,1.0
input_SAR.txt:173,002,1.0
input_SAR.txt:208,000,1.0
input_SAR.txt:243,001,1.0
input_SAR.txt:278,002,1.0
input_SAR.txt:313,003,1.0
input_SAR.txt:348,003,1.0
input_SAR.txt:383,001,1.0
input_SAR.txt:418,001,1.0
input_SAR.txt:453,008,1.0
input_SAR.txt:488,001,1.0
input_SAR.txt:523,002,1.0
input_SAR.txt:558,004,1.0
input_SAR.txt:593,001,1.0
input_SAR.txt:628,002,1.0
input_SAR.txt:663,001,1.0
input_SAR.txt:698,000,1.0
input_SAR.txt:733,000,1.0
input_SAR.txt:768,001,1.0
input_SAR.txt:803,001,1.0
input_SAR.txt:838,002,1.0
input_SAR.txt:868,005,1.0
input_SAR.txt:903,002,1.0
input_SAR.txt:938,004,1.0
input_SAR.txt:973,011,1.0
input_SAR.txt:1008,000,1.0
input_SAR.txt:1043,002,1.0
input_SAR.txt:1078,000,1.0
input_SAR.txt:1113,005,1.0
input_SAR.txt:1148,005,1.0
input_SAR.txt:1183,000,1.0
input_SAR.txt:1218,011,1.0
input_SAR.txt:1253,005,1.0
input_SAR.txt:1288,000,1.0
input_SAR.txt:1323,001,1.0
input_SAR.txt:1358,001,1.0
input_SAR.txt:1393,000,1.0
input_SAR.txt:1428,000,1.0
input_SAR.txt:1463,005,1.0
input_SAR.txt:1498,000,1.0
input_SAR.txt:1533,001,1.0
input_SAR.txt:1568,008,1.0
input_SAR.txt:1603,000,1.0
input_SAR.txt:1638,000,1.0
input_SAR.txt:9,002,1.0
input_SAR.txt:44,010,1.0
input_SAR.txt:79,006,1.0
input_SAR.txt:114,001,1.0
input_SAR.txt:149,009,1.0
input_SAR.txt:184,003,1.0
input_SAR.txt:219,004,1.0
