docname,topic,proportion
input_SAR.txt:33,012,1.0
input_SAR.txt:68,006,1.0
input_SAR.txt:103,009,1.0
input_SAR.txt:138,001,1.0
input_SAR.txt:173,000,1.0
input_SAR.txt:208,001,1.0
input_SAR.txt:243,006,1.0
input_SAR.txt:278,010,1.0
input_SAR.txt:313,012,1.0
input_SAR.txt:348,002,1.0
input_SAR.txt:383,015,1.0
input_SAR.txt:418,015,1.0
input_SAR.txt:453,012,1.0
input_SAR.txt:488,012,1.0
input_SAR.txt:523,000,1.0
input_SAR.txt:558,003,1.0
input_SAR.txt:593,010,1.0
input_SAR.txt:628,010,1.0
input_SAR.txt:663,002,1.0
input_SAR.txt:698,002,1.0
input_SAR.txt:733,001,1.0
input_SAR.txt:768,003,1.0
input_SAR.txt:803,002,1.0
input_SAR.txt:838,010,1.0
input_SAR.txt:868,016,1.0
input_SAR.txt:903,000,1.0
input_SAR.txt:938,000,1.0
input_SAR.txt:973,000,1.0
input_SAR.txt:1008,001,1.0
input_SAR.txt:1043,010,1.0
input_SAR.txt:1078,001,1.0
input_SAR.txt:1113,016,1.0
input_SAR.txt:1148,016,1.0
input_SAR.txt:1183,010,1.0
input_SAR.txt:1218,006,1.0
input_SAR.txt:1253,016,1.0
input_SAR.txt:1288,011,1.0
input_SAR.txt:1323,009,1.0
input_SAR.txt:1358,000,1.0
input_SAR.txt:1393,001,1.0
input_SAR.txt:1428,001,1.0
input_SAR.txt:1463,016,1.0
input_SAR.txt:1498,001,1.0
input_SAR.txt:1533,000,1.0
input_SAR.txt:1568,024,1.0
input_SAR.txt:1603,007,1.0
input_SAR.txt:1638,001,1.0
input_SAR.txt:27,010,1.0
input_SAR.txt:62,019,1.0
input_SAR.txt:97,005,1.0
input_SAR.txt:132,013,1.0
input_SAR.txt:167,010,1.0
input_SAR.txt:202,012,1.0
input_SAR.txt:237,021,1.0
input_SAR.txt:272,010,1.0
input_SAR.txt:307,018,1.0
input_SAR.txt:342,010,1.0
input_SAR.txt:377,012,1.0
input_SAR.txt:412,002,1.0
input_SAR.txt:447,012,1.0
input_SAR.txt:482,023,1.0
input_SAR.txt:517,010,1.0
input_SAR.txt:552,009,1.0
input_SAR.txt:587,010,1.0
input_SAR.txt:622,009,1.0
input_SAR.txt:657,010,1.0
input_SAR.txt:692,013,1.0
input_SAR.txt:727,010,1.0
input_SAR.txt:762,006,1.0
input_SAR.txt:797,010,1.0
input_SAR.txt:832,003,1.0
input_SAR.txt:862,001,1.0
input_SAR.txt:897,007,1.0
input_SAR.txt:932,001,1.0
input_SAR.txt:967,000,1.0
input_SAR.txt:1002,007,1.0
input_SAR.txt:1037,000,1.0
input_SAR.txt:1072,001,1.0
input_SAR.txt:1107,005,1.0
input_SAR.txt:1142,006,1.0
input_SAR.txt:1177,001,1.0
input_SAR.txt:1212,000,1.0
input_SAR.txt:1247,001,1.0
input_SAR.txt:1282,000,1.0
input_SAR.txt:1317,005,1.0
input_SAR.txt:1352,016,1.0
input_SAR.txt:1387,000,1.0
input_SAR.txt:1422,011,1.0
input_SAR.txt:1457,010,1.0
input_SAR.txt:1492,001,1.0
input_SAR.txt:1527,008,1.0
input_SAR.txt:1562,006,1.0
input_SAR.txt:1597,010,1.0
input_SAR.txt:1632,009,1.0
input_SAR.txt:1667,022,1.0
input_SAR.txt:7,010,1.0
input_SAR.txt:42,009,1.0
input_SAR.txt:77,005,1.0
input_SAR.txt:112,005,1.0
input_SAR.txt:147,002,1.0
input_SAR.txt:182,010,1.0
input_SAR.txt:217,012,1.0
input_SAR.txt:252,012,1.0
input_SAR.txt:287,010,1.0
input_SAR.txt:322,008,1.0
input_SAR.txt:357,027,1.0
input_SAR.txt:392,015,1.0
input_SAR.txt:427,001,1.0
input_SAR.txt:462,017,1.0
input_SAR.txt:497,012,1.0
input_SAR.txt:532,012,1.0
input_SAR.txt:567,010,1.0
input_SAR.txt:602,006,1.0
input_SAR.txt:637,016,1.0
input_SAR.txt:672,010,1.0
input_SAR.txt:707,010,1.0
input_SAR.txt:742,010,1.0
input_SAR.txt:777,012,1.0
input_SAR.txt:812,005,1.0
input_SAR.txt:847,003,1.0
input_SAR.txt:877,012,1.0
input_SAR.txt:912,016,1.0
input_SAR.txt:947,000,1.0
input_SAR.txt:982,010,1.0
input_SAR.txt:1017,010,1.0
input_SAR.txt:1052,010,1.0
input_SAR.txt:1087,011,1.0
input_SAR.txt:1122,016,1.0
input_SAR.txt:1157,001,1.0
input_SAR.txt:1192,010,1.0
input_SAR.txt:1227,000,0.531098
input_SAR.txt:1227,001,0.468902
input_SAR.txt:1262,000,1.0
input_SAR.txt:1297,000,1.0
input_SAR.txt:1332,009,1.0
input_SAR.txt:1367,016,1.0
input_SAR.txt:1402,016,1.0
input_SAR.txt:1437,024,1.0
input_SAR.txt:1472,016,1.0
input_SAR.txt:1507,006,1.0
input_SAR.txt:1542,000,1.0
input_SAR.txt:1577,010,1.0
input_SAR.txt:1612,012,1.0
input_SAR.txt:1647,012,1.0
input_SAR.txt:34,013,1.0
input_SAR.txt:69,013,1.0
input_SAR.txt:104,006,1.0
input_SAR.txt:139,000,1.0
input_SAR.txt:174,012,1.0
input_SAR.txt:209,000,1.0
input_SAR.txt:244,008,1.0
input_SAR.txt:279,010,1.0
input_SAR.txt:314,012,1.0
input_SAR.txt:349,002,1.0
input_SAR.txt:384,022,1.0
input_SAR.txt:419,012,1.0
input_SAR.txt:454,006,1.0
input_SAR.txt:489,010,1.0
input_SAR.txt:524,010,1.0
input_SAR.txt:559,010,1.0
input_SAR.txt:594,006,1.0
input_SAR.txt:629,012,1.0
input_SAR.txt:664,012,1.0
input_SAR.txt:699,003,1.0
input_SAR.txt:734,001,1.0
input_SAR.txt:769,003,1.0
input_SAR.txt:804,001,1.0
input_SAR.txt:839,006,1.0
input_SAR.txt:869,016,1.0
input_SAR.txt:904,018,1.0
input_SAR.txt:939,010,1.0
input_SAR.txt:974,001,1.0
input_SAR.txt:1009,006,1.0
input_SAR.txt:1044,000,1.0
input_SAR.txt:1079,020,1.0
input_SAR.txt:1114,002,1.0
input_SAR.txt:1149,016,1.0
input_SAR.txt:1184,004,1.0
input_SAR.txt:1219,010,1.0
input_SAR.txt:1254,001,1.0
input_SAR.txt:1289,011,1.0
input_SAR.txt:1324,009,1.0
input_SAR.txt:1359,000,1.0
input_SAR.txt:1394,005,1.0
input_SAR.txt:1429,014,1.0
input_SAR.txt:1464,016,1.0
input_SAR.txt:1499,024,1.0
input_SAR.txt:1534,000,1.0
input_SAR.txt:1569,001,1.0
input_SAR.txt:1604,014,1.0
input_SAR.txt:1639,010,1.0
input_SAR.txt:32,028,1.0
input_SAR.txt:67,006,1.0
input_SAR.txt:102,010,1.0
input_SAR.txt:137,006,1.0
input_SAR.txt:172,017,1.0
input_SAR.txt:207,001,1.0
input_SAR.txt:242,008,1.0
input_SAR.txt:277,004,1.0
input_SAR.txt:312,012,1.0
input_SAR.txt:347,021,1.0
input_SAR.txt:382,007,1.0
input_SAR.txt:417,015,1.0
input_SAR.txt:452,024,1.0
input_SAR.txt:487,021,1.0
input_SAR.txt:522,008,1.0
