topic,term,weight
000,mike,0.091437116
000,bill,0.08442908
000,ask,0.044824366
000,edna,0.024882419
000,night,0.022818154
000,thing,0.023226509
000,awful,0.012210596
000,bankrupt,0.010822853
000,english,0.012591192
000,bad,0.013385798
001,look,0.043732103
001,romero,0.041195597
001,bill,0.037631366
001,smile,0.026000585
001,table,0.027163452
001,glass,0.022826089
001,pedro,0.01989766
001,bottle,0.023074627
001,lean,0.012815776
001,feel,0.013782868
002,brett,0.09472646
002,damn,0.056717888
002,thing,0.052190773
002,good,0.030417562
002,live,0.022715626
002,tight,0.022847591
002,feel,0.01963477
002,write,0.02069489
002,want,0.022176914
002,mike,0.022334624
003,harris,0.04881105
003,tight,0.04648043
003,good,0.042226687
003,fish,0.03331002
003,damn,0.03516735
003,want,0.03476516
003,glass,0.024743617
003,time,0.028715456
003,bill,0.0231726
003,mean,0.016663635
004,cohn,0.121749155
004,robert,0.056910515
004,bring,0.04449203
004,start,0.038718633
004,ask,0.027127204
004,mike,0.02156247
004,bore,0.013400173
004,think,0.01765679
004,cross,0.011798574
004,rot,0.0109418435
005,hell,0.058367282
005,cohn,0.052962434
005,suppose,0.042157337
005,paris,0.034666076
005,find,0.029197603
005,he'll,0.026690722
005,amuse,0.0208657
005,good,0.022743491
005,shut,0.018956574
005,long,0.01956022
006,walk,0.08544232
006,back,0.0810001
006,turn,0.034387328
006,ask,0.040356915
006,corner,0.027885502
006,taxi,0.026383908
006,sebastian,0.026122833
006,san,0.024952875
006,pantheon,0.02182544
006,street,0.023676481
007,behave,0.05618931
007,think,0.039478682
007,good,0.03908163
007,fiesta,0.033990826
007,he'll,0.033136122
007,badly,0.028392514
007,day,0.029826388
007,damn,0.026911555
007,start,0.020777792
007,wait,0.018235184
008,sit,0.088696174
008,hell,0.06039186
008,table,0.049458724
008,shut,0.033953644
008,parc,0.026486438
008,stranger,0.02618024
008,office,0.028519526
008,cable,0.026110036
008,tight,0.027582046
008,bed,0.02425638
009,ticket,0.05644305
009,café,0.046570655
009,service,0.035893604
009,friend,0.042882074
