topic,term,weight
009,unloadings,0.028411018
009,conductor,0.027333722
009,morning,0.021729942
009,waiter,0.020856254
009,iruña,0.018317595
009,rain,0.017648734
010,ask,0.08099387
010,robert,0.016498026
010,start,0.013254707
010,shake,0.008636843
010,stand,0.011923486
010,big,0.008028875
010,knock,0.007125403
010,laugh,0.008552441
010,damn,0.011617688
010,head,0.0066540767
011,people,0.07958649
011,lot,0.06883662
011,sort,0.04681528
011,thing,0.034635864
011,nice,0.0272992
011,money,0.022398733
011,table,0.024402706
011,like,0.015055003
011,watch,0.013971222
011,crowd,0.013463979
012,brett,0.118158095
012,edna,0.01638154
012,bottle,0.0117088165
012,absolutely,0.007981611
012,sallow,0.006222053
012,light,0.006488415
012,forget,0.0069158697
012,suizo,0.005920712
012,room,0.0077330954
012,sore,0.0056461873
013,america,0.060322553
013,leave,0.053718414
013,think,0.048822127
013,south,0.04054152
013,california,0.03152389
013,worry,0.028464442
013,matt,0.031114867
013,talk,0.023761017
013,pay,0.021948637
013,frances,0.025404483
014,time,0.11774292
014,remember,0.107052036
014,long,0.047759224
014,bad,0.04424941
014,date,0.032989115
014,lilas,0.027323002
014,day,0.023633776
014,kid,0.01839667
014,hospital,0.015796294
014,harris,0.017515609
015,count,0.10791351
015,ask,0.10077157
015,brett,0.10129886
015,joke,0.068303935
015,dance,0.04388832
015,value,0.030972864
015,sir,0.022258343
015,dear,0.019286772
015,georgette,0.014259748
015,enjoy,0.012774616
016,bull,0.22793834
016,fighter,0.13694844
016,fight,0.06743891
016,romero,0.021941677
016,watch,0.020235248
016,ring,0.019581422
016,young,0.0175546
016,crowd,0.018541092
016,steer,0.019611575
016,cape,0.0150910765
017,make,0.14072306
017,difference,0.088426165
017,friend,0.04952331
017,steer,0.04307733
017,oughtn't,0.0330284
017,goner,0.027809478
017,hundred,0.028333293
017,money,0.027379785
017,harvey,0.027111564
017,give,0.027143916
018,friend,0.14886247
018,jake,0.09510624
018,england,0.0385031
018,ridiculous,0.037366867
018,iruña,0.037114963
018,steer,0.039404348
018,rain,0.0367759
018,make,0.043036874
018,long,0.025178537
018,forget,0.020539472
019,girl,0.1101441
019,frances,0.085177764
019,brett,0.097793266
019,dance,0.0659059
019,matt,0.043924633
019,leave,0.041035764
019,braddocks,0.026409512
019,laugh,0.027318813
019,pernod,0.025377307
019,difference,0.025980381
020,sick,0.113500595
020,matt,0.083154656
020,everybody's,0.056965318
020,stand,0.0510737
020,montoya,0.044919968
020,town,0.034625698
020,laugh,0.02598386
020,bar,0.022755962
020,fast,0.016376797
020,pernod,0.015979746
021,marry,0.14314936
021,love,0.119000874
021,she's,0.11266522
021,back,0.044559702
021,mike,0.0327348
021,ashley,0.024195548
021,true,0.022180332
021,want,0.026549183
021,year,0.020702947
021,value,0.021076905
022,drink,0.31264672
022,wine,0.11440585
022,bottle,0.047529314
022,bathe,0.037967425
022,dear,0.037451837
022,send,0.026700314
022,charm,0.022778187
022,hurry,0.02361284
022,count,0.02296706
022,rot,0.01662767
023,wonderful,0.15764329
023,budapest,0.10446246
023,vienna,0.07460269
023,come,0.05798697
023,hear,0.04994665
023,tell,0.04444173
023,absolutely,0.030070273
023,michael,0.029345984
023,trip,0.022572273
023,give,0.024671497
024,eat,0.33970886
024,desk,0.11329041
024,hurry,0.04817527
024,stair,0.03770875
024,drink,0.055709388
024,travel,0.024394842
024,story,0.02392406
024,harvey,0.025273627
024,snotty,0.0193239
024,meal,0.019167716
025,remember,0.43075508
025,drink,0.26862973
025,perfectly,0.062298838
025,write,0.05813437
025,card,0.039123435
025,time,0.028789854
025,blind,0.012548866
025,nigger,0.010991582
025,jake,0.015591247
025,dear,0.009854605
026,wine,0.37441096
026,eye,0.2614059
026,cock,0.22598375
026,bottle,0.028798217
026,thing,0.027003447
026,skin,0.009711487
026,lean,0.0104197115
026,include,0.0055926703
026,bag,0.004001397
026,fault,0.0035832871
027,morrow,0.34719396
027,fool,0.18582638
027,back,0.07368842
027,rotten,0.064513855
027,office,0.052948255
027,headache,0.04460157
027,absinthe,0.037488993
027,ask,0.03548166
027,day,0.027147606
027,low,0.014778985
028,american,0.44589397
028,flamand,0.19030353
028,algabeno,0.058023892
028,south,0.056490563
028,real,0.052283607
028,montoya,0.049268674
028,smile,0.028407257
028,ambassador,0.026014274
028,woman,0.023272697
028,want,0.022477323
029,wish,0.4094723
029,chica,0.24395859
029,fish,0.05161949
029,send,0.051985435
029,cohn,0.04354406
029,nice,0.028541403
029,table,0.025740333
029,fly,0.016606793
029,english,0.017714621
029,worry,0.01546535
