docname,topic,proportion
input.txt:364,013,1.0
input.txt:399,010,1.0
input.txt:434,000,1.0
input.txt:469,006,1.0
input.txt:500,000,1.0
input.txt:535,005,1.0
input.txt:570,001,1.0
input.txt:605,001,1.0
input.txt:640,003,1.0
input.txt:675,005,1.0
input.txt:710,007,1.0
input.txt:745,005,1.0
input.txt:780,004,1.0
input.txt:815,011,1.0
input.txt:850,007,1.0
input.txt:885,000,1.0
input.txt:16,007,1.0
input.txt:51,012,1.0
input.txt:86,005,1.0
input.txt:121,005,1.0
input.txt:156,002,1.0
input.txt:191,003,1.0
input.txt:226,000,1.0
input.txt:261,006,1.0
input.txt:296,000,1.0
input.txt:331,004,1.0
input.txt:366,003,1.0
input.txt:401,010,1.0
input.txt:436,002,1.0
input.txt:502,000,1.0
input.txt:537,002,1.0
input.txt:572,001,1.0
input.txt:607,001,1.0
input.txt:642,001,1.0
input.txt:677,001,1.0
input.txt:712,006,1.0
input.txt:747,005,1.0
input.txt:782,014,1.0
input.txt:817,011,1.0
input.txt:852,007,1.0
input.txt:887,005,1.0
input.txt:33,007,1.0
input.txt:68,003,1.0
input.txt:103,004,1.0
input.txt:138,002,1.0
input.txt:173,003,1.0
input.txt:208,003,1.0
input.txt:243,000,1.0
input.txt:278,007,1.0
input.txt:313,008,1.0
input.txt:348,003,1.0
input.txt:383,010,1.0
input.txt:418,003,1.0
input.txt:453,000,1.0
input.txt:484,000,1.0
input.txt:519,002,1.0
input.txt:554,001,1.0
input.txt:589,001,1.0
input.txt:624,001,1.0
input.txt:659,006,1.0
input.txt:694,009,1.0
input.txt:729,011,1.0
input.txt:764,011,1.0
input.txt:799,007,1.0
input.txt:834,000,1.0
input.txt:869,005,1.0
input.txt:904,007,1.0
input.txt:23,006,1.0
input.txt:58,003,1.0
input.txt:93,005,1.0
input.txt:128,005,1.0
input.txt:163,002,1.0
input.txt:198,000,1.0
input.txt:233,000,1.0
input.txt:268,010,1.0
input.txt:303,008,1.0
input.txt:338,007,1.0
input.txt:373,003,1.0
input.txt:408,012,1.0
input.txt:443,001,1.0
input.txt:474,000,1.0
input.txt:509,000,1.0
input.txt:544,001,1.0
input.txt:579,001,1.0
input.txt:614,001,1.0
input.txt:649,001,1.0
input.txt:684,006,1.0
input.txt:719,011,1.0
input.txt:754,005,1.0
input.txt:789,011,1.0
input.txt:824,011,1.0
input.txt:859,007,1.0
input.txt:894,000,1.0
input.txt:20,006,1.0
input.txt:55,004,1.0
input.txt:90,005,1.0
input.txt:125,005,1.0
input.txt:160,002,1.0
input.txt:195,003,1.0
input.txt:230,000,1.0
input.txt:265,006,1.0
input.txt:300,005,1.0
input.txt:335,002,1.0
input.txt:370,003,1.0
input.txt:405,010,1.0
input.txt:440,000,1.0
input.txt:471,006,1.0
input.txt:506,000,1.0
input.txt:541,002,1.0
input.txt:576,011,1.0
input.txt:611,006,1.0
input.txt:646,006,1.0
input.txt:681,007,1.0
input.txt:716,011,1.0
input.txt:751,013,1.0
input.txt:786,009,1.0
input.txt:821,011,1.0
input.txt:856,000,1.0
input.txt:891,000,1.0
input.txt:32,000,1.0
input.txt:67,003,1.0
input.txt:102,005,1.0
input.txt:137,002,1.0
input.txt:172,004,1.0
input.txt:207,003,1.0
input.txt:242,000,1.0
input.txt:277,000,1.0
input.txt:312,008,1.0
input.txt:347,003,1.0
input.txt:382,010,1.0
input.txt:417,003,1.0
input.txt:452,000,1.0
input.txt:483,004,1.0
input.txt:518,002,1.0
input.txt:553,001,1.0
input.txt:588,001,1.0
input.txt:623,001,1.0
input.txt:658,006,1.0
input.txt:693,007,1.0
input.txt:728,011,1.0
input.txt:763,009,1.0
input.txt:798,007,1.0
input.txt:833,005,1.0
input.txt:868,000,1.0
input.txt:903,007,1.0
input.txt:28,006,1.0
input.txt:63,001,1.0
input.txt:98,005,1.0
input.txt:133,006,1.0
input.txt:168,002,1.0
input.txt:203,004,1.0
input.txt:238,000,1.0
input.txt:273,005,1.0
input.txt:308,008,1.0
input.txt:343,003,1.0
input.txt:378,007,1.0
input.txt:413,003,1.0
input.txt:448,003,1.0
input.txt:479,002,1.0
input.txt:514,000,1.0
input.txt:549,001,1.0
input.txt:584,005,1.0
input.txt:619,005,1.0
input.txt:654,001,1.0
input.txt:689,007,1.0
input.txt:724,011,1.0
input.txt:759,011,1.0
input.txt:794,009,1.0
input.txt:829,005,1.0
input.txt:864,010,1.0
input.txt:899,004,1.0
input.txt:1,000,1.0
input.txt:36,003,1.0
input.txt:71,003,1.0
input.txt:106,005,1.0
input.txt:141,002,1.0
input.txt:176,004,1.0
input.txt:211,000,1.0
input.txt:246,000,1.0
input.txt:281,010,1.0
input.txt:316,008,1.0
input.txt:351,013,1.0
input.txt:386,010,1.0
input.txt:421,003,1.0
input.txt:456,006,1.0
input.txt:487,004,1.0
input.txt:522,002,1.0
input.txt:557,011,1.0
input.txt:592,001,1.0
input.txt:627,002,1.0
input.txt:662,001,1.0
input.txt:697,011,1.0
input.txt:732,011,1.0
input.txt:767,009,1.0
input.txt:802,009,1.0
input.txt:837,001,1.0
input.txt:872,005,1.0
input.txt:907,000,1.0
input.txt:24,006,1.0
input.txt:59,003,1.0
input.txt:94,007,1.0
input.txt:129,005,1.0
input.txt:164,002,1.0
input.txt:199,010,1.0
input.txt:234,000,1.0
input.txt:269,004,1.0
input.txt:304,003,1.0
input.txt:339,008,1.0
input.txt:374,003,1.0
input.txt:409,008,1.0
input.txt:444,006,1.0
input.txt:475,005,1.0
input.txt:510,000,1.0
input.txt:545,001,1.0
input.txt:580,004,1.0
input.txt:615,005,1.0
input.txt:650,001,1.0
input.txt:685,006,1.0
input.txt:720,006,1.0
input.txt:755,005,1.0
input.txt:790,011,1.0
input.txt:825,011,1.0
input.txt:860,000,1.0
input.txt:895,007,1.0
input.txt:8,008,1.0
input.txt:43,003,1.0
input.txt:78,003,1.0
input.txt:113,004,1.0
input.txt:148,002,1.0
input.txt:183,008,1.0
input.txt:218,006,1.0
input.txt:253,000,1.0
input.txt:288,000,1.0
input.txt:323,008,1.0
input.txt:358,007,1.0
input.txt:393,010,1.0
input.txt:428,004,1.0
input.txt:463,006,1.0
input.txt:494,000,1.0
input.txt:529,005,1.0
input.txt:564,001,1.0
input.txt:599,001,1.0
input.txt:634,006,1.0
input.txt:669,001,1.0
input.txt:704,009,1.0
input.txt:739,005,1.0
input.txt:774,011,1.0
input.txt:809,011,1.0
input.txt:844,000,1.0
input.txt:879,000,1.0
input.txt:25,006,1.0
input.txt:60,012,1.0
input.txt:95,005,1.0
input.txt:130,005,1.0
input.txt:165,002,1.0
input.txt:200,006,1.0
input.txt:235,003,1.0
input.txt:270,000,1.0
input.txt:305,008,1.0
input.txt:340,007,1.0
input.txt:375,004,1.0
input.txt:410,003,1.0
input.txt:445,000,0.511375
input.txt:445,001,0.488625
input.txt:476,001,1.0
input.txt:511,002,1.0
input.txt:546,009,1.0
input.txt:581,001,1.0
input.txt:616,001,1.0
input.txt:651,001,1.0
input.txt:686,006,1.0
input.txt:721,005,1.0
input.txt:756,012,1.0
input.txt:791,011,1.0
input.txt:826,011,1.0
input.txt:861,007,1.0
input.txt:896,000,1.0
input.txt:29,005,1.0
input.txt:64,003,1.0
input.txt:99,005,1.0
input.txt:134,000,1.0
input.txt:169,002,1.0
input.txt:204,005,1.0
input.txt:239,000,1.0
input.txt:274,000,1.0
input.txt:309,008,1.0
input.txt:344,003,1.0
input.txt:379,003,1.0
input.txt:414,003,1.0
input.txt:449,003,1.0
input.txt:480,006,1.0
input.txt:515,000,1.0
input.txt:550,003,1.0
input.txt:585,001,1.0
input.txt:620,001,1.0
input.txt:655,003,1.0
input.txt:690,007,1.0
input.txt:725,011,1.0
input.txt:760,011,1.0
input.txt:795,005,1.0
input.txt:830,008,1.0
input.txt:865,000,1.0
input.txt:900,000,1.0
input.txt:26,000,1.0
input.txt:61,008,1.0
input.txt:96,001,1.0
input.txt:131,005,1.0
input.txt:166,002,1.0
input.txt:201,006,1.0
input.txt:236,000,1.0
input.txt:271,000,1.0
input.txt:306,008,1.0
input.txt:341,008,1.0
input.txt:376,003,1.0
input.txt:411,003,1.0
input.txt:446,000,0.511375
input.txt:446,001,0.488625
input.txt:477,013,1.0
input.txt:512,000,1.0
input.txt:547,003,1.0
input.txt:582,001,1.0
input.txt:617,001,1.0
input.txt:652,001,1.0
input.txt:687,006,1.0
input.txt:722,011,1.0
input.txt:757,005,1.0
input.txt:792,001,1.0
input.txt:827,011,1.0
input.txt:862,007,1.0
input.txt:897,000,1.0
input.txt:17,003,1.0
input.txt:52,004,1.0
input.txt:87,003,1.0
input.txt:122,005,1.0
input.txt:157,002,1.0
input.txt:192,004,1.0
input.txt:227,000,1.0
input.txt:262,007,1.0
input.txt:297,006,1.0
input.txt:332,008,1.0
input.txt:367,003,1.0
input.txt:402,010,1.0
input.txt:437,002,1.0
input.txt:503,000,1.0
input.txt:538,002,1.0
input.txt:573,001,1.0
input.txt:608,001,1.0
input.txt:643,006,1.0
input.txt:678,007,1.0
input.txt:713,006,1.0
input.txt:748,011,1.0
input.txt:783,005,1.0
input.txt:818,004,1.0
input.txt:853,008,1.0
input.txt:888,000,1.0
input.txt:7,006,1.0
input.txt:42,003,1.0
input.txt:77,001,1.0
input.txt:112,004,1.0
input.txt:147,000,0.511375
input.txt:147,001,0.488625
input.txt:182,004,1.0
input.txt:217,000,1.0
input.txt:252,000,1.0
input.txt:287,000,1.0
input.txt:322,008,1.0
input.txt:357,003,1.0
input.txt:392,010,1.0
input.txt:427,000,1.0
input.txt:462,000,1.0
input.txt:493,001,1.0
input.txt:528,007,1.0
input.txt:563,001,1.0
input.txt:598,001,1.0
input.txt:633,001,1.0
input.txt:668,001,1.0
input.txt:703,006,1.0
input.txt:738,011,1.0
input.txt:773,009,1.0
input.txt:808,009,1.0
input.txt:843,000,1.0
input.txt:878,007,1.0
input.txt:13,006,1.0
input.txt:48,008,1.0
input.txt:83,006,1.0
input.txt:118,004,1.0
input.txt:153,004,1.0
input.txt:188,006,1.0
input.txt:223,000,1.0
input.txt:258,000,1.0
input.txt:293,000,1.0
input.txt:328,008,1.0
input.txt:363,013,1.0
input.txt:398,010,1.0
input.txt:433,006,1.0
input.txt:468,000,1.0
input.txt:499,012,1.0
input.txt:534,007,1.0
input.txt:569,005,1.0
input.txt:604,001,1.0
input.txt:639,006,1.0
input.txt:674,007,1.0
input.txt:709,009,1.0
input.txt:744,005,1.0
input.txt:779,006,1.0
input.txt:814,011,1.0
input.txt:849,011,1.0
input.txt:884,000,1.0
input.txt:22,006,1.0
input.txt:57,003,1.0
input.txt:92,005,1.0
input.txt:127,004,1.0
input.txt:162,002,1.0
input.txt:197,004,1.0
input.txt:232,000,1.0
input.txt:267,000,1.0
input.txt:302,000,1.0
input.txt:337,000,1.0
input.txt:372,003,1.0
input.txt:407,004,1.0
input.txt:442,002,1.0
input.txt:473,002,1.0
input.txt:508,005,1.0
input.txt:543,000,1.0
input.txt:578,001,1.0
input.txt:613,001,1.0
input.txt:648,004,1.0
input.txt:683,006,1.0
input.txt:718,011,1.0
input.txt:753,006,1.0
input.txt:788,011,1.0
input.txt:823,011,1.0
input.txt:858,000,0.511375
input.txt:858,001,0.488625
input.txt:893,007,1.0
input.txt:5,000,1.0
input.txt:40,003,1.0
input.txt:75,009,1.0
input.txt:110,004,1.0
input.txt:145,002,1.0
input.txt:180,004,1.0
input.txt:215,000,1.0
input.txt:250,001,1.0
input.txt:285,000,1.0
input.txt:320,008,1.0
input.txt:355,013,1.0
input.txt:390,010,1.0
input.txt:425,007,1.0
input.txt:460,002,1.0
input.txt:491,009,1.0
input.txt:526,002,1.0
input.txt:561,007,1.0
input.txt:596,001,1.0
input.txt:631,001,1.0
input.txt:666,001,1.0
input.txt:701,006,1.0
input.txt:736,011,1.0
input.txt:771,004,1.0
input.txt:806,005,1.0
input.txt:841,000,1.0
input.txt:876,007,1.0
input.txt:12,005,1.0
input.txt:47,004,1.0
input.txt:82,006,1.0
input.txt:117,005,1.0
input.txt:152,002,1.0
input.txt:187,004,1.0
input.txt:222,007,1.0
input.txt:257,004,1.0
input.txt:292,006,1.0
input.txt:327,008,1.0
input.txt:362,013,1.0
input.txt:397,010,1.0
input.txt:432,006,1.0
input.txt:467,009,1.0
input.txt:498,004,1.0
input.txt:533,002,1.0
input.txt:568,001,1.0
input.txt:603,001,1.0
input.txt:638,006,1.0
input.txt:673,006,1.0
input.txt:708,001,1.0
input.txt:743,005,1.0
input.txt:778,014,1.0
input.txt:813,011,1.0
input.txt:848,000,1.0
input.txt:883,001,1.0
input.txt:2,009,1.0
input.txt:37,000,0.511375
input.txt:37,001,0.488625
input.txt:72,003,1.0
input.txt:107,005,1.0
input.txt:142,002,1.0
input.txt:177,006,1.0
input.txt:212,000,1.0
input.txt:247,000,1.0
input.txt:282,000,1.0
input.txt:317,008,1.0
input.txt:352,003,1.0
input.txt:387,010,1.0
input.txt:422,012,1.0
input.txt:457,001,1.0
input.txt:488,002,1.0
input.txt:523,002,1.0
input.txt:558,001,1.0
input.txt:593,001,1.0
input.txt:628,001,1.0
input.txt:663,001,1.0
input.txt:698,006,1.0
input.txt:733,011,1.0
input.txt:768,006,1.0
input.txt:803,009,1.0
